Section,Nominal Size [mm],w [kg/m],d [mm],bf [mm],tw [mm],tf [mm],r [mm],A [cm2],Ix [cm4],Iy [cm4],rx [cm],ry [cm],Sx [cm3],Sy [cm3],Zx [cm3],Zy [cm3],h/tw,0.5bf/tf,ho [mm],j [cm4],cw [10^6 cm6],rts [cm6],Lp [cm],Lr [cm]
W-V350x350x10x16 (115 kg/m),V350x350,115,344,348,10,16,20,146,33300,11200,15.1,8.78,1940,646,2069.66,976.63,27.2,10.88,328,105.96,3.01,9.73,441.51,1475.74
W-*350x350x16x16 (131 kg/m),*350x350,131,344,354,16,16,20,166.6,35300,11800,14.6,8.43,2050,669,2247.17,1022.5,17,11.06,328,141.45,3.17,9.72,423.91,1588.5
W-350x350x12x19 (137 kg/m),350x350,137,350,350,12,19,20,173.9,40300,13600,15.2,8.84,2300,776,2493.18,1174.98,22.67,9.21,331,179.11,3.73,9.89,444.53,1682.53
W-*350x350x19x19 (156 kg/m),*350x350,156,350,357,19,19,20,198.4,42800,11400,14.7,8.53,2450,809,2707.56,1238.92,14.32,9.39,331,238.92,3.12,8.78,428.94,1626.23
W-V400x200x7x11 (55.6 kg/m),V400x200,55.6,396,199,7,11,16,72.16,20000,1450,16.7,4.48,1010,145,1087.55,222.39,48.86,9.05,385,22.06,0.54,5.26,225.28,640.2
W-400x200x8x13 (66 kg/m),400x200,66,400,200,8,13,16,84.12,23700,1740,16.8,4.54,1190,174,1285.95,265.98,42.75,7.69,387,35.9,0.65,5.32,228.3,677.95
W-*400x200x9x15 (75.5 kg/m),*400x200,75.5,404,201,9,15,16,96.16,27500,2030,16.9,4.6,1360,202,1487.56,310.58,38,6.7,389,54.68,0.77,5.39,231.31,723.95
W-*400x300x9x14 (94.3 kg/m),*400x300,94.3,386,299,9,14,22,120.1,33700,6240,16.7,7.21,1740,418,1845.56,633.06,34.89,10.68,372,63.74,2.16,8.17,362.56,1086.45
W-400x300x10x16 (107 kg/m),400x300,107,390,300,10,16,22,136,38700,7210,16.9,7.28,1980,481,2115.61,728.95,31.4,9.38,374,94.39,2.52,8.25,366.08,1163.26
W-*400x400x15x15 (140 kg/m),*400x400,140,388,402,15,15,22,178.5,49000,16300,16.6,9.54,2520,809,2729.81,1232.17,20.93,13.4,373,132.41,5.67,10.98,479.73,1588.71
W-*400x400x11x18 (147 kg/m),*400x400,147,394,398,11,18,22,186.8,56100,18900,17.3,10.1,2850,951,3046.12,1436.47,28.55,11.06,376,171.42,6.68,11.17,507.89,1673.48
